Red Cross Quirino,"16.5245508, 121.5194338","Capitol Compound, Cabarroguis, 3400, Quirino, Capitol Crest Road, Cabarroguis, Quirino, Philippines"
Red Cross Santiago City,"16.7051259, 121.5586179","City Hall Compound, San Andres, Santiago City, 3311, Isabela, Santiago, Isabela, Philippines"
Red Cross Tarlac,"15.4804412, 120.5873832","55 Romulo Blvd, Tarlac City, Tarlac, Philippines"
Red Cross Zambales,"15.3142761, 119.9943235","1902 Olongapo - Bugallon Rd, Iba, Zambales, Philippines"
Red Cross Caloocan City,"14.647248, 120.991966","114 7th Ave, East Grace Park, Caloocan, 1403 Metro Manila, Philippines"
Red Cross Las Piñas City,"14.4722033, 120.9743299","Bernabe Compound, Pulang Lupa, Las Piñas City, Las Pinas, Metro Manila, Philippines"
Red Cross Manila,"14.5879919, 120.9761983","855 General Luna St, Intramuros, Manila, 1002 Metro Manila, Philippines"
Red Cross Malabon City,"14.669663, 120.975786","76 Gov W Pascual Ave, Potrero, City of Malabon, 1475 Metro Manila, Philippines"
Red Cross Marikina City,"14.6297639, 121.0964631","4 V. Gomez St, Marikina, 1800 Metro Manila, Philippines"
Red Cross Navotas City,"14.650809, 120.956871","Ground Floor Navotas City Youth Center, Maya-maya Avenue, NBBS,Phase 2, Area 2, Dagat-dagatan Kaunlaran Village, Navotas City, Navotas, Metro Manila, Philippines"
Red Cross Pasay City,"14.530804, 121.003932","2319 Aurora Blvd, Pasay, 1300 Metro Manila, Philippines"
Red Cross Quezon City,"14.6460175, 121.0520524","Quezon City Hall Compound, Kalayaan Avenue, Diliman, Quezon City, Diliman, Quezon City, Metro Manila, Philippines"
Red Cross Rizal,"14.5704743, 121.131649","Ison, Taytay, Rizal, Philippines"
Red Cross Valenzuela City,"14.6780605, 120.9784775","99 Dahlia Street, Lungsod ng Valenzuela, 1440 Kalakhang Maynila, Philippines"
Red Cross Batangas,"13.7658363, 121.0652484","Capitol Site, Kumintang Ibaba, Batangas City, 4200, Batangas, Batangas, Philippines"
Red Cross Cavite,"14.4809137, 120.9086702","P. Gomez, Cavite City, Cavite, Philippines"
Red Cross Laguna,"33.6286923, -117.7353672","22971 Mill Creek Dr, Laguna Hills, CA 92653, USA"
Red Cross Marinduque,"13.4469808, 121.8412024","Kasilag St, Isok I, Boac, 4900, Marinduque, Boac, Marinduque, Philippines"
Red Cross Mindoro Oriental,"13.405296, 121.177665","Capitol Complex, Camilmil, Calapan, Oriental Mindoro, Philippines"
Red Cross Occidental Mindoro,"12.352654, 121.0694412","10 Roxas St, San Jose, Occidental Mindoro, Philippines"
Red Cross Palawan,"9.739590999999999, 118.7373722","H. Mendoza St, Puerto Princesa, 5300 Palawan, Philippines"
Red Cross Quezon-Lucena City,"13.9290049, 121.6144462","Quezon Captiol Compound Perez, Lucena, 4301 Quezon, Philippines"
Red Cross Romblon,"12.530434, 122.287602","Capitol Site, Brgy. Capaclan, Romblon, 5500, Romblon, Romblon, Philippines"
Red Cross San Pablo City,"14.069652, 121.3256384","1 Rizal Avenue, Brgy. VII-C, San Pablo City, 4000 Laguna, Philippines"
Red Cross Albay-Legaspi City,"13.139392, 123.735886","Fr. J. L. Bates corner Gov. Locsin Street, Albay District, Legazpi City, 4500, Albay, Old Albay District, Legazpi City, Albay, Philippines"
Red Cross Camarines Norte,"14.1218328, 122.9576004","197 Bagasbas Rd, Daet, 4600 Camarines Norte, Philippines"
Red Cross Camarines Sur,"13.6219465, 123.1966016","Panganiban Dr, Naga, Camarines Sur, Philippines"
Red Cross Catanduanes,"13.5801423, 124.219449","Catanduanes Circumferential Road, Virac, Catanduanes, Philippines"
Red Cross Masbate,"12.3711937, 123.6247347","Social Center Site, Masbate City, 5400, Ibingay Street, Masbate City, Masbate, Philippines"
Red Cross Sorsogon,"12.971721, 124.00173","PRC Capitol Compound, Sorsogon City, 4700, Sorsogon, Sorsogon City, Sorsogon, Philippines"
Red Cross Aklan,"11.7065835, 122.3663851","54 A Mabini, Kalibo, 5600 Aklan, Philippines"
Philippine Red Cross Antique,"10.7475914, 121.9414154","Tobias Fornier St., San Jose, 5700, Antique, San Jose de Buenavista, Antique, Philippines"
Philippine Red Cross Boracay-Malay,"11.9673753, 121.924815","2 Boracay Bulabog Rd, Malay, Aklan, Philippines"
Red Cross Bohol,"9.640146699999999, 123.8572514","29 C. Marapao St, Tagbilaran City, 6300 Bohol, Philippines"
Red Cross Capiz,"42.3481264, -71.03911529999999","606 Congress St, Boston, MA 02210, USA"
Red Cross Cebu,"10.3123873, 123.8919831","235 Pres Osmena Blvd, Cebu City, 6000 Cebu, Philippines"
Red Cross Eastern Samar,"11.6032557, 125.4354393","Capitol Site, Alang-alang, Borongan, 6800, Eastern Samar, Borongan City, Eastern Samar, Philippines"
Red Cross Guimaras,"10.598521, 122.589392","Museo de Guimaras, San Miguel, Jordan, 5045, Guimaras, Jordan, Guimaras, Philippines"
Red Cross Hilongos,"10.3708121, 124.7533672","403 R. V Fulache Street, Hilongos, Leyte, Philippines"
Red Cross Iloilo,"10.703985, 122.5684336","Philippine National Red Cross Building, Iloilo City Proper, Iloilo City, 5000 Iloilo, Philippines"
Red Cross Lapu-Lapu/Cordova,"10.3051644, 123.9570646","Vincent Dr, Lapu-Lapu City, Cebu, Philippines"
Red Cross Leyte,"11.2497774, 125.0056576","Leyte Girl Scout of the Philippines Office, M.H. Del Pilar St, Downtown, Tacloban City, Leyte, Philippines"
Red Cross Negros Occ. –Bacolod City,"10.6760727, 122.9575997","37 11th St, Bacolod, 6100 Negros Occidental, Philippines"
Red Cross Negros Oriental,"9.306470899999999, 123.3092561","National Telecommunications Commission, Bishop Epifanio Surban St, Dumaguete, Negros Oriental, Philippines"
Red Cross Northern Samar,"12.5035297, 124.6339914","Capitol Site, Catarman, 6400, Northern Samar, Catarman, Northern Samar, Philippines"
Red Cross Ormoc City,"11.0041989, 124.6114829","507 Doña Feliza Mejia, Ormoc City, 6541, Leyte, Ormoc, Leyte, Philippines"
Red Cross Passi City,"11.1218889, 122.6481068","San Alfonso Rd, Passi City, Iloilo, Philippines"
Red Cross Siquijor,"9.2138369, 123.5145798","Siquijor Capital Square, Siquijor, Philippines"
Red Cross Southern Leyte,"10.1328079, 124.8423017","416 Bato - Bontoc Rd, Maasin City, Southern Leyte, Philippines"
Red Cross Western Samar,"11.7745712, 124.8844224","37 Isabel West Road, Catbalogan City Proper, Catbalogan City, 6700 Samar, Philippines"
Red Cross Agusan Del Norte-Butuan City,"8.941441, 125.5347458","GSP Training Center, Villa Kanangga Rd, Butuan City, Agusan Del Norte, Philippines"
Red Cross Agusan Del Sur,"8.548032, 125.9431068","Government Center, Patin-ay, Properidad, 8500, Agusan Del Sur, Prosperidad, Agusan del Sur, Philippines"
Red Cross Basilan,"6.7043244, 121.9712289","Strong Boulevard, Port Area, Isabela City, Basilan, Philippines"
Red Cross Bukidnon,"8.1554507, 125.1298866","6 Datu Mampaalong St, Malaybalay, Bukidnon, Philippines"
Red Cross Camiguin,"9.1732164, 124.7298765","Tupsan Pequeno, Camiguin, Philippines"
Red Cross Compostela Valley,"7.512514999999999, 126.1762615","Panag, Compostela Valley, Philippines"
Red Cross Cotabato City-Maguindanao,"7.221340000000001, 124.243786","Don Teodoro V Juliano Ave, Cotabato City, Maguindanao, Philippines"
Red Cross Davao City,"7.0423092, 125.5834254","Matina Aplaya, Talomo, Davao City, Davao del Sur, Philippines"
Red Cross Davao Del Norte,"7.458737800000001, 125.7829099","Red Cross of the Philippines - Davao del Norte Field Office, Tagum, 8100 Davao del Norte, Philippines"
Red Cross Davao Del Sur,"7.0423092, 125.5834254","Matina Aplaya, Talomo, Davao City, Davao del Sur, Philippines"
Red Cross Davao Oriental,"7.072402899999999, 125.6115134","123 Roxas Ave, Poblacion District, Davao City, Davao del Sur, Philippines"
Red Cross General Santos City-Sarangani Province,"6.1494567, 125.172313","Dela Cruz Compound, Lungsod ng General Santos, 9500 Timog Cotabato, Philippines"
Red Cross Gingoog City,"8.820591, 125.1108894","Misamis Oriental Provincial Hospital - Gingoog, 9014 F Dugenio St, Gingoog, 9014 Misamis Oriental, Philippines"
Red Cross Iligan City,"8.2145763, 124.2399313","Judge Guevarra Street, Iligan City, Lanao del Norte, Philippines"
Red Cross North Cotabato-Kidapawan City,"7.0081253, 125.0875041","9 Bonifacio Street, Kidapawan City, 9400 Cotabato, Philippines"
Red Cross Lanao Del Norte,"8.05344, 123.790694","Junction National Highway Tubod-Wharf Road, Tubod, Lanao del Norte, Philippines"
Red Cross Lanao Del Sur-Marawi,"8.0094663, 124.2772951","Capitol Mosque, Marawi City, Lanao del Sur, Philippines"
Red Cross Misamis Occidental-Oroquieta City,"8.4860642, 123.7983881","Capitol Dr, Oroquieta City, Misamis Occidental, Philippines"
Red Cross Misamis Oriental-Cagayan De Oro,"8.484648, 124.649084","2013 Capitol Rd, Cagayan de Oro, Misamis Oriental, Philippines"
Red Cross Ozamiz City,"8.1542055, 123.8543178","S.M. Lao Hospital Compound, Manabay, Ozamis City, 7200, Misamis Occidental, Ozamiz City, Misamis Occidental, Philippines"
Red Cross South Cotabato,"6.4936178, 124.8391383","Mabini Street, Korondal City, South Cotabato, Poblacion, Koronadal City, South Cotabato, Philippines"
Red Cross Sultan Kudarat Province-Tacurong City,"6.693215599999999, 124.6750282","Corner Bonifacio Street, Tacurong City, Sultan Kudarat, Philippines"
Philippine Red Cross Sulu,"6.0537328, 121.0022871","Bus-bus Rd, Jolo, Sulu, Philippines"
Red Cross Surigao Del Norte,"9.791636, 125.49457","1000 Magallanes Street, Surigao City, Surigao del Norte, Philippines"
Red Cross Surigao Del Sur,"9.069964299999999, 126.1914719","Capitol Road., Tandag, Surigao del Sur, Philippines"
Red Cross Tangub City,"8.061216, 123.751357","Philippine Red Cross, City Hall Drive, Tangub City, Misamis Occidental, Tangub City, Misamis Occidental, Philippines"
Red Cross Tawi-Tawi,"5.0280556, 119.774501","Tubig Boh Capitol Hills, Bongao, Bongao, Tawi-Tawi, Philippines"
Red Cross Zamboanga City,"6.903224799999999, 122.0784135","12 N S Valderosa St, Zamboanga, Zamboanga del Sur, Philippines"
Red Cross Zamboanga Del Norte,"8.5837338, 123.3471461","Provincial Tourism Complex, Dipolog City, 7100, Zamboanga del Norte, Dipolog City, Zamboanga del Norte, Philippines"
Red Cross Zamboanga Del Sur–Pagadian City,"7.8437962, 123.4306006","Unnamed Road, Pagadian City, Zamboanga del Sur, Philippines"
Red Cross Zamboanga-Sibugay,"6.903224799999999, 122.0784135","12 N S Valderosa St, Zamboanga, Zamboanga del Sur, Philippines"
